용어,챗봇
보증부월세,"일정한 금액의 보증금을 내고 매월 내는 집세를 일컫는다. 임차료 지급형식의 하나다. 종래의 전세형태에서 진화된 임대 형태에서 발생된 것으로, 2000년대에 들어서 국가의 경제 저성장으로 은행의 이자율이 낮아지면서, 목돈(전세금)의 일부대신 현금으로 들어오는 임차료를 수취하는 것을 선호하는 집주인의 행태에서 진화된 것이다."
녹지지역,"자연환경, 농지 및 산림의 보호, 보건위생, 보안과 도시의 무질서한 확산을 방지하기 위하여 녹지의 보전이 필요한 지역으로서 국토의 계획 및 이용에 관한 법률(이하, 국토계획법)에 따라 도시 · 군 관리계획으로 결정, 고시된 지역을 말한다.녹지지역은 법이 정하는 용도지역 중 도시지역의 한 종류이며, 자연환경 및 경관의 보호, 희귀 및 멸종위기 야생 동 · 식물의 보호, 환경오염의 예방, 농경지보호, 보안과 도시의 무질서한 확산을 방지하기 위하여 녹지의 보전이 필요한 지역을 대상으로 세분하여 지정하며 다음과 같은 세 가지 지역이 있다.① 보전녹지지역 : 도시의 자연환경 · 경관 · 산림 및 녹지공간을 보전하는 지역, 역사적, 문화적 보전가치가 있는 지역, 풍치 및 경관이 양호한 지역, 무질서한 시가화 방지, 생태계보전을 위해 차단지대, 완충지대로 기능이 있는 지역을 대상으로 지정한다.② 생산녹지지역 : 주로 농업생산을 위해 개발을 유보하는 지역, 농업진흥지역, 시가화 또는 개발을 엄격히 규제할 필요가 있는 농지, 농지가 집단화되어 있거나 경지정리가 되어 있는 지역을 대상으로 지정한다.③ 자연녹지지역 : 도시의 녹지공간의 확보, 도시의 확산 방지, 장래 도시 용지 공급을 위해 보전이 필요한 지역으로 불가피한 경우 제한적인 개발이 가능한 지역, 보전녹지와 연계하여 녹지의 보전이 필요한 지역, 자연 · 산림 · 녹지의 풍치와 건전한 도시환경을 유지하기 위하여 필요한 지역을 대상으로 지정한다.녹지지역 안에서 건폐율 및 용적률의 최대한도는 관할 구역의 면적과 인구규모, 용도지역의 특성 등을 고려하여 국토계획법에서 정해 놓은 기준에 따라 특별시, 광역시, 특별자치시, 특별자치도, 시 또는 군의 조례로 정한다. 국토계획법상 녹지지역안의 건폐율은 20% 이하이며, 용적률은 보전녹지지역 50~80%, 생산녹지지역 및 자연녹지지역 50% 이상~100% 이하이다.녹지지역 안에서 건축물의 용도, 종류 및 규모 등의 제한은 국토계획법 시행령 별표15~17에 정해 놓았으며 특별시, 광역시, 특별자치시, 특별자치도, 시 또는 군의 조례에 구체적으로 정해 놓았다. 관련법은 국토의 계획 및 이용에 관한 법률이다."
재정비촉진지구,"도시의 낙후된 지역에 대한 주거환경개선과 기반시설의 확충 및 도시기능의 회복을 광역적으로 계획하고 체계적이고 효율적으로 추진하기 위하여 도시재정비 촉진을 위한 특별법에 의해 지정, 고시한 지구를 말한다. 재정비 촉진지구는 지구의 특성에 따라 다음과 같은 세 가지 유형으로 구분한다.① 주거지형 : 노후, 불량주택과 건축물이 밀집한 지역으로서 주로 주거환경의 개선과 기반시설의 정비가 필요한 지구② 중심지형 : 상업지역, 공업지역 등으로서 토지의 효율적 이용과 도심 또는 부도심 등의 도시기능의 회복이 필요한 지구③ 고밀도복합형 : 주요 역세권, 간선도로의 교차지 등 양호한 기반시설을 갖추고 있어 대중교통 이용이 용이한 지역으로서 도심 내 소형주택의 공급확대, 토지의 고도이용과 건축물의 복합개발이 필요한 지구."
공유민박업,"모바일 플랫폼을 통해 주택을 숙박서비스에 제공하는 ‘숙박 공유 서비스’가 대도시 · 관광지를 중심으로 빠르게 확산되고 있으나, 국내에서는 주택을 활용한 ‘숙박공유 서비스’에 대한 법적 근거미비로 새로운 형태의 서비스 시장 창출에 애로가 있었다. 이에 거주중인 주택을 숙박서비스에 제공할 수 있도록 허용한 민박업을 말한다.공유 민박업 등록기준은 ① 관할 시 · 군 · 구에 등록,② 인적요건은 해당 시 · 군 · 구의 주민,③ 물적요건은 주민등록이 되어 있는 거주지로서, 단독주택, 다가구주택, 아파트, 연립주택, 다세대주택중 하나에 해당,④ 허용지역은 도시지역(전용주거지역 제외). 다만, 지자체 조례로 전용주거 및 (준)농어촌지역 가능,⑤ 규모는 연면적 230m2 미만.공유민박업자는 연간 120일 이내에서 운영해야 한다. 공유민박 중개자는 공유민박업자에게 영업일수를 자율 고지토록 하고, 숙박중개 플랫폼에 이용자와 공급자가 서로 평가할 수 있는 평판조회시스템을 운영토록 한다. 세계적으로 유명한 공유민박중개자인 에어비앤비는 191개국 35,000여개 도시에 200만개의 객실을 확보하여 중개를 하고 있으며 2015년 현재 4,000만명(누적 7,000만명)이 이용하였다. 공유민박업은 투자활성화 대책의 주요 추진과제로 추진되었다."
분리과세대상,"토지에 대한 재산세 과세대상의 하나로, 과세기준일 현재 납세의무자가 소유하고 있는 토지 중 국가의 보호 · 지원 또는 중과가 필요한 토지로서 다음의 어느 하나에 해당하는 토지를 말한다.① 공장용지 · 전 · 답 · 과수원 및 목장용지로서 대통령령으로 정하는 토지② 산림의 보호육성을 위하여 필요한 임야 및 종중 소유 임야로서 대통령령으로 정하는 임야③ 골프장용 토지와 고급 오락장용 토지로서 대통령령으로 정하는 토지④ 공장의 부속토지로서 개발제한구역의 지정이 있기 이전에 그 부지취득이 완료된 곳으로서 대통령령으로 정하는 토지⑤ 국가 및 지방자치단체 지원을 위한 특정목적 사업용 토지로서 대통령령으로 정하는 토지⑥ 에너지 · 자원의 공급 및 방송 · 통신 · 교통 등의 기반시설용 토지로서 대통령령으로 정하는 토지⑦ 국토의 효율적 이용을 위한 개발사업용 토지로서 대통령령으로 정하는 토지⑧ 그 밖에 지역경제의 발전, 공익성의 정도 등을 고려하여 분리과세하여야 할 타당한 이유가 있는 토지로서 대통령령으로 정하는 토지.근거법은 지방세법이다."
수인한도,공해나 소음 따위가 발생하여 타인에게 생활의 방해와 해를 끼칠 때 피해의 정도에서 서로 참을 수 있는 한도를 말한다. 예를 들면 공장에서 배출되는 공해는 어느 한도까지는 참아야 한다는 한도를 말한다.
철골구조,"다양한 모양의 철골과 강판 재료를 리벳, 볼트, 용접 등의 수단으로 접합하여 조립하는 구조를 말한다. 비교적 살이 얇은 형강을 이용한 구조를 경량철골조라 한다. 건축물대장에는 구별하여 기재한다.강재는 주로 선철을 정제하여 성형한 압연강제를 사용하며, 종류는 강판, 형강, 봉강, 강관, 경량형강을 이용한다. 형강은 L, I, H, T, ㄷ자 형강을 주로 쓴다. 이 구조는 횡력에 강하며 내풍, 내진에 잘 견디며 철근콘크리트조에 비해 중량을 감소시킬 수 있고, 개구부 내기가 용이하다.그러나 고열에 약하여 화재에 약한 단점이 있다. 고층주택축이나 초고층주택에 철골철근콘크리트 조로 응용하여 많이 이용한다."
귀문,"귀문이란 음양오행설에서 귀신이 출입하는 문이라는 뜻이다. 동북아시아에서는 동북방향을 가리키는 방위다. 본래 중국과 한국민족은 동북방향에서 침입해 오는 이민족인 오랑캐 때문에 항상 영토침범을 당했으며 또 겨울철에는 북동방향에서 차갑고 매서운 바람이 불어왔으므로 이 방향을 제일 싫어한데서 나온 것인데 이 때문에 주택의 북동방향에는 거실, 주인방, 변소, 주방, 대문, 현관을 두는 것을 꺼려왔다.이와 같은 귀문의 반대방향인 남서방향을 이귀문이라고 하는데 귀신이 나가는 뒷문이라는 뜻이다. 남서방향도 여름에는 해볓이 따갑게 들고 바람이 들어오므로 이 방향에도 변소, 주방, 거실, 주인방, 대문, 현관을 두지 않는 것으로 하고 귀문인 북동방향 다음으로 꺼렸었다."
공법상계약,협의의 의미는 국가 또는 공공단체와 사인간의 합의로 공법상 법률관계를 발생시키는 계약을 공법상 계약이라 한다. 행정법상 행정계약은 행정주체 상호간 또는 행정주체와 국민 사이에 행정목적을 수행하기 위하여 체결하는 계약을 말한다. 계약의 내용상 공법적 효과의 발생을 목적으로 하는 공법상계약과 사법적 효과의 발생을 목적으로 하는 사법상 계약이 포함된다는 견해가 많다. 토지수용을 위한 계약이 그 예다.
학교용지,"공립 초등학교 · 중학교 및 고등학교의 교사(校舍) · 체육장 및 실습지, 그 밖의 학교시설을 신설하는 데에 필요하여 특별이 법에 정해 놓은 토지를 말한다. 공간정보의 구축 및 관리 등에 관한 법률상 지목의 종류 중 하나이다.학교용지 확보 등에 관한 특례법에 의해 300가구 규모 이상의 개발 사업을 시행하는 자는 국토의 계획 및 이용에 관한 법률에 명시된 학교시설의 설치기준을 따라야 하며, 사업 시행자가 학교 용지를 개발하거나 학교 용지를 확보할 때는 교육감의 의견을 들어야 한다.또한 특별시 · 광역시 · 도 또는 특별자치도의 교육감은 학교 시설의 설치 기준에 못 미치는 개발 사업에 대해서는 개발사업시행자에게 그 개발사업의 규모와 지역여건을 고려하여 적절한 규모의 학교용지를 확보 하도록 하고, 그 지역이 협소하여 개발사업 시행자가 학교용지를 확보할 수 없다고 판단되면 개발사업 시행자로 하여금 사업지와 인접한 곳에 학교용지를 확보하도록 할 수 있다."
택지개발지구,"택지개발사업을 시행하기 위하여 도시지역과 그 주변지역 중 국토교통부장관 또는 특별시장 · 광역시장 · 도지사 · 특별자치도지사가 지정 · 고시하는 지구를 말한다. 택지개발지구는 주거기본법에 정하는 주택종합계획 중 주택 · 택지의 수요 · 공급 및 관리에 관한 사항에서 정하는 바에 따라 택지를 집단적으로 개발하기 위하여 필요한 지역을 선정하여 지정한다.택지개발지구로 지정하기 위해 주민 등의 의견청취를 위한 공고가 있는 지역 및 지구로 지정된 곳에서는 건축물의 건축, 공작물의 설치, 토지의 형질변경, 토석의 채취, 토지분할, 물건을 쌓아놓는 행위 등이 금지되며, 이러한 행위를 하기 위해서는 특별자치도지사, 시장 · 군수 또는 자치구의 구청장 허가를 받아야 한다.이러한 규정을 위반할 시에는 원상회복을 명받으며, 명령을 받은 자가 이를 이행하지 않을 경우에는 특별자치도지사 · 시장 · 군수 또는 자치구의 구청장은 행정대집행법에 따라 대집행(代執行)할 수 있다.관련법은 택지개발촉진법이다."
